Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00N4O000006tew0UAA,TLB_SalesGroupDescription,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tew1UAA,TLB_SalesOfficeCode,null,CustomField,,,,,,,,,,,
Account,00N4O000006tew2UAA,TLB_SalesOfficeDescription,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tew3UAA,TLB_SalesOrganizationCode,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006tew4UAA,TLB_Sales_Organization,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tew5UAA,TLB_Segment,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006tew7UAA,TLB_SubDivisionDescription,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006tew8UAA,TLB_Territory_Description,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006tew9UAA,TLB_VisitFrequency,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tewAUAQ,TLB_masterdataBlock,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006tezRUAQ,TLB_ChannelCode,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tezSUAQ,TLB_DivisionCode,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ik5EAB,AFH_Av_Price_per_Meal,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ik6EAB,AFH_Channel,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ik7EAB,AFH_Cluster,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2ik8EAB,AFH_DTM,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ik9EAB,AFH_Food_Spend_Month,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ikAEAR,AFH_Meal_Served_Day,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ikBEAR,AFH_OFS,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2ikCEAR,AFH_Region,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ikDEAR,AFH_TaxID_1,null,CustomField,X,,X,,,,X,,X,,
Account,00N5b00000E2ikEEAR,AFH_Territory,null,CustomField,,,,,,,X,,,,
Account,00N5b00000E2ikGEAR,DEX_2ndLineWholesaler,null,CustomField,,,,,,,,,X,,
Account,00N5b00000E2ikHEAR,DEX_AccountResponsible,null,CustomField,X,,X,,,X,X,,,,
Account,00N5b00000E2ikIEAR,DEX_AccountTemplate,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikKEAR,DEX_Account_Datalake_ID,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2ikLEAR,DEX_Account_Status,null,CustomField,X,,X,X,,X,X,,,,
Account,00N5b00000E2ikMEAR,DEX_ActivityResponsible,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2ikOEAR,DEX_AggregatorStatus,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikQEAR,DEX_Best_Call_Time,null,CustomField,X,,,,,,X,,,,
Account,00N5b00000E2ikSEAR,DEX_BrickPostalCode,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikUEAR,DEX_BuyingGroups,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikVEAR,DEX_CallBeforeVisit,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikXEAR,DEX_Caterlyst_Unique_ID,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikYEAR,DEX_Cattegory_Attributes,null,CustomField,,,,,,X,,,,,
Account,00N5b00000E2ikbEAB,DEX_ClosingTimeWorkingDay,null,CustomField,X,,,,,X,X,,,,
Account,00N5b00000E2ikdEAB,DEX_Conference_Outlet_On_Site,null,CustomField,X,,,,,X,X,,,,
Account,00N5b00000E2ikeEAB,DEX_Contact_Date,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikfEAB,DEX_Contact_Type,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikgEAB,DEX_Contract2,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikhEAB,DEX_ContractFrom,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2ikkEAB,DEX_ConvenienceLevel,null,CustomField,,,,,,,,,,,
Account,00N5b00000E2iklEAB,DEX_Convertion_Prospect,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikmEAB,DEX_Country,null,CustomField,X,,,,,,X,,X,,
Account,00N5b00000E2ikpEAB,DEX_Cuisine,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikqEAB,DEX_CustomerFlag,null,CustomField,X,,,,,X,,,,,
Account,00N5b00000E2ikrEAB,DEX_CustomerGroup,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2iksEAB,DEX_CustomerHierarchy3,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2iktEAB,DEX_CustomerHierarchy4,null,CustomField,X,,,,,,,,,,
Account,00N5b00000E2ikuEAB,DEX_CustomerHierarchy5,null,CustomField,X,,,,,,,,,,
